,Cycle number,Profile number,Phase number,1st sample date,Pressure (dbar),Channel 1 a (Count),Channel 2 (Count)
252,1,0,5,2021-11-16 14:23:58,5.8,1247.0,4130.0
253,1,0,5,2021-11-16 14:24:46,5.8,1247.0,4130.0
254,1,0,5,2021-11-16 14:24:46,5.8,1246.0,4130.0
255,1,0,5,2021-11-16 14:24:46,5.8,1245.0,4130.0
256,1,0,5,2021-11-16 14:24:46,5.8,1246.0,4130.0
257,1,0,5,2021-11-16 14:24:46,5.8,1247.0,4130.0
258,1,0,5,2021-11-16 14:24:46,5.8,1247.0,4130.0
259,1,0,5,2021-11-16 14:24:46,5.8,1246.0,4130.0
260,1,0,5,2021-11-16 14:24:46,5.8,1246.0,4130.0
261,1,0,5,2021-11-16 14:24:46,5.8,1246.0,4130.0
262,1,0,5,2021-11-16 14:24:46,5.8,1247.0,4130.0
263,1,0,5,2021-11-16 14:24:46,5.8,1246.0,4130.0
264,1,0,5,2021-11-16 14:24:46,5.8,1246.0,4130.0
265,1,0,5,2021-11-16 14:24:46,5.8,1246.0,4130.0
266,1,0,5,2021-11-16 14:24:46,5.8,1247.0,4130.0
267,1,0,5,2021-11-16 14:24:46,5.8,1245.0,4130.0
268,1,0,5,2021-11-16 14:24:46,5.8,1246.0,4130.0
269,1,0,5,2021-11-16 14:24:46,5.8,1246.0,4130.0
270,1,0,5,2021-11-16 14:24:46,5.8,1246.0,4130.0
271,1,0,5,2021-11-16 14:24:46,5.8,1246.0,4130.0
272,1,0,5,2021-11-16 14:24:46,5.8,1246.0,4130.0
273,1,0,5,2021-11-16 14:24:46,5.8,1245.0,4130.0
274,1,0,5,2021-11-16 14:25:33,5.8,1246.0,4130.0
275,1,0,5,2021-11-16 14:25:33,5.8,1245.0,4130.0
276,1,0,5,2021-11-16 14:25:33,5.8,1246.0,4130.0
277,1,0,5,2021-11-16 14:25:33,5.8,1246.0,4130.0
278,1,0,5,2021-11-16 14:25:33,5.8,1246.0,4130.0
279,1,0,5,2021-11-16 14:25:33,5.8,1246.0,4130.0
280,1,0,5,2021-11-16 14:25:33,5.8,1245.0,4130.0
281,1,0,5,2021-11-16 14:25:33,5.8,1246.0,4130.0
282,1,0,5,2021-11-16 14:25:33,5.8,1245.0,4130.0
283,1,0,5,2021-11-16 14:25:33,5.8,1245.0,4130.0
284,1,0,5,2021-11-16 14:25:33,5.8,1245.0,4130.0
285,1,0,5,2021-11-16 14:25:33,5.8,1246.0,4130.0
286,1,0,5,2021-11-16 14:25:33,5.8,1246.0,4130.0
287,1,0,5,2021-11-16 14:25:33,5.8,1246.0,4130.0
288,1,0,5,2021-11-16 14:25:33,5.8,1245.0,4130.0
289,1,0,5,2021-11-16 14:25:33,5.8,1246.0,4130.0
290,1,0,5,2021-11-16 14:25:33,5.8,1245.0,4130.0
291,1,0,5,2021-11-16 14:25:33,5.8,1244.0,4130.0
292,1,0,5,2021-11-16 14:25:33,5.8,1246.0,4130.0
293,1,0,5,2021-11-16 14:25:33,5.8,1246.0,4130.0
294,1,0,5,2021-11-16 14:25:33,5.8,1245.0,4130.0
295,1,0,5,2021-11-16 14:26:21,5.8,1245.0,4130.0
296,1,0,5,2021-11-16 14:26:21,5.8,1246.0,4130.0
297,1,0,5,2021-11-16 14:26:21,5.8,1244.0,4130.0
298,1,0,5,2021-11-16 14:26:21,5.8,1246.0,4130.0
299,1,0,5,2021-11-16 14:26:21,5.8,1245.0,4130.0
300,1,0,5,2021-11-16 14:26:21,5.8,1245.0,4130.0
301,1,0,5,2021-11-16 14:26:21,5.8,1246.0,4130.0
302,1,0,5,2021-11-16 14:26:21,5.8,1246.0,4130.0
303,1,0,5,2021-11-16 14:26:21,5.8,1244.0,4130.0
304,1,0,5,2021-11-16 14:26:21,5.8,1244.0,4130.0
305,1,0,5,2021-11-16 14:26:21,5.8,1245.0,4130.0
306,1,0,5,2021-11-16 14:26:21,5.8,1244.0,4130.0
307,1,0,5,2021-11-16 14:26:21,5.8,1245.0,4130.0
308,1,0,5,2021-11-16 14:26:21,5.8,1246.0,4130.0
309,1,0,5,2021-11-16 14:26:21,5.8,1246.0,4130.0
310,1,0,5,2021-11-16 14:26:21,5.8,1244.0,4130.0
311,1,0,5,2021-11-16 14:26:21,5.8,1244.0,4130.0
312,1,0,5,2021-11-16 14:26:21,5.8,1246.0,4130.0
313,1,0,5,2021-11-16 14:26:21,5.8,1245.0,4130.0
314,1,0,5,2021-11-16 14:26:21,5.8,1244.0,4130.0
315,1,0,5,2021-11-16 14:26:21,5.8,1245.0,4130.0
316,1,0,5,2021-11-16 14:27:09,5.8,1245.0,4130.0
317,1,0,5,2021-11-16 14:27:09,5.8,1246.0,4130.0
318,1,0,5,2021-11-16 14:27:09,5.8,1246.0,4130.0
319,1,0,5,2021-11-16 14:27:09,5.8,1246.0,4130.0
320,1,0,5,2021-11-16 14:27:09,5.8,1245.0,4130.0
321,1,0,5,2021-11-16 14:27:09,5.8,1245.0,4130.0
322,1,0,5,2021-11-16 14:27:09,5.8,1245.0,4130.0
323,1,0,5,2021-11-16 14:27:09,5.8,1245.0,4130.0
324,1,0,5,2021-11-16 14:27:09,5.8,1245.0,4130.0
325,1,0,5,2021-11-16 14:27:09,5.8,1245.0,4130.0
326,1,0,5,2021-11-16 14:27:09,5.8,1245.0,4130.0
327,1,0,5,2021-11-16 14:27:09,5.8,1244.0,4130.0
328,1,0,5,2021-11-16 14:27:09,5.8,1244.0,4130.0
329,1,0,5,2021-11-16 14:27:09,5.8,1244.0,4130.0
330,1,0,5,2021-11-16 14:27:09,5.8,1244.0,4130.0
331,1,0,5,2021-11-16 14:27:09,5.8,1245.0,4130.0
332,1,0,5,2021-11-16 14:27:09,5.8,1245.0,4130.0
333,1,0,5,2021-11-16 14:27:09,5.8,1245.0,4130.0
334,1,0,5,2021-11-16 14:27:09,5.8,1245.0,4130.0
335,1,0,5,2021-11-16 14:27:09,5.8,1245.0,4130.0
336,1,0,5,2021-11-16 14:27:09,5.8,1245.0,4130.0
337,1,0,5,2021-11-16 14:27:56,5.8,1245.0,4130.0
338,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
339,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
340,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
341,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
342,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
343,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
344,1,0,5,2021-11-16 14:27:56,5.8,1245.0,4130.0
345,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
346,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
347,1,0,5,2021-11-16 14:27:56,5.8,1245.0,4130.0
348,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
349,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
350,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
351,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
352,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
353,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
354,1,0,5,2021-11-16 14:27:56,5.8,1243.0,4130.0
355,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
356,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
357,1,0,5,2021-11-16 14:27:56,5.8,1244.0,4130.0
358,1,0,5,2021-11-16 14:28:44,5.8,1244.0,4130.0
359,1,0,5,2021-11-16 14:28:44,5.8,1244.0,4130.0
360,1,0,5,2021-11-16 14:28:44,5.8,1243.0,4130.0
361,1,0,5,2021-11-16 14:28:44,5.8,1243.0,4130.0
362,1,0,5,2021-11-16 14:28:44,5.8,1243.0,4130.0
363,1,0,5,2021-11-16 14:28:44,5.8,1244.0,4130.0
364,1,0,5,2021-11-16 14:28:44,5.8,1244.0,4130.0
365,1,0,5,2021-11-16 14:28:44,5.8,1244.0,4130.0
366,1,0,5,2021-11-16 14:28:44,5.8,1243.0,4130.0
367,1,0,5,2021-11-16 14:28:44,5.8,1243.0,4130.0
368,1,0,5,2021-11-16 14:28:44,5.8,1244.0,4130.0
369,1,0,5,2021-11-16 14:28:44,5.8,1244.0,4130.0
370,1,0,5,2021-11-16 14:28:44,5.8,1244.0,4130.0
371,1,0,5,2021-11-16 14:28:44,5.8,1244.0,4130.0
372,1,0,5,2021-11-16 14:28:44,5.8,1243.0,4130.0
373,1,0,5,2021-11-16 14:28:44,5.8,1244.0,4130.0
374,1,0,5,2021-11-16 14:28:44,5.8,1243.0,4130.0
375,1,0,5,2021-11-16 14:28:44,5.8,1243.0,4130.0
376,1,0,5,2021-11-16 14:28:44,5.8,1244.0,4130.0
377,1,0,5,2021-11-16 14:28:44,5.8,1244.0,4130.0
378,1,0,5,2021-11-16 14:28:44,5.8,1243.0,4130.0
379,1,0,5,2021-11-16 14:29:32,5.8,1244.0,4130.0
380,1,0,5,2021-11-16 14:29:32,5.8,1244.0,4130.0
381,1,0,5,2021-11-16 14:29:32,5.8,1243.0,4130.0
382,1,0,5,2021-11-16 14:29:32,5.8,1243.0,4130.0
383,1,0,5,2021-11-16 14:29:32,5.8,1244.0,4130.0
384,1,0,5,2021-11-16 14:29:32,5.8,1243.0,4130.0
385,1,0,5,2021-11-16 14:29:32,5.8,1243.0,4130.0
386,1,0,5,2021-11-16 14:29:32,5.8,1243.0,4130.0
387,1,0,5,2021-11-16 14:29:32,5.8,1244.0,4130.0
388,1,0,5,2021-11-16 14:29:32,5.8,1244.0,4130.0
389,1,0,5,2021-11-16 14:29:32,5.8,1243.0,4130.0
390,1,0,5,2021-11-16 14:29:32,5.8,1243.0,4130.0
391,1,0,5,2021-11-16 14:29:32,5.8,1244.0,4130.0
